Date_Time,Symbol,Price,Volume,Exchange Code,Sales Condition
2014-03-03 08:36:37,ITT,43.9,3300,D,TB
2014-03-03 09:30:02,ITT,43.4,4173,N,O
2014-03-03 09:30:03,ITT,43.39,200,D,@
2014-03-03 09:30:05,ITT,43.4,55,D,4 I
2014-03-03 09:30:05,ITT,43.4,110,D,4
2014-03-03 09:30:05,ITT,43.4,87,D,4 I
2014-03-03 09:30:08,ITT,43.321000000000005,11,D,I
2014-03-03 09:30:08,ITT,43.33,100,N,F
2014-03-03 09:30:08,ITT,43.33,35,D,I
2014-03-03 09:30:09,ITT,43.32,73,B,F I
2014-03-03 09:30:09,ITT,43.33,65,N,F I
2014-03-03 09:30:09,ITT,43.32,8,N,F I
2014-03-03 09:30:10,ITT,43.32,45,N,I
2014-03-03 09:30:10,ITT,43.32,300,D,@
2014-03-03 09:30:11,ITT,43.32,75,D,I
2014-03-03 09:30:16,ITT,43.32,47,N,F I
2014-03-03 09:30:29,ITT,43.27,53,T,F I
2014-03-03 09:30:29,ITT,43.27,53,T,Q
2014-03-03 09:30:29,ITT,43.28,100,N,F
2014-03-03 09:30:35,ITT,43.3,50,K,I
2014-03-03 09:31:38,ITT,43.26,14,N,F I
2014-03-03 09:32:07,ITT,43.19,24,T,F I
2014-03-03 09:32:07,ITT,43.22,13,N,F I
2014-03-03 09:32:07,ITT,43.161,23,N,I
2014-03-03 09:32:07,ITT,43.161,49,D,I
2014-03-03 09:32:12,ITT,43.23,100,K,F
2014-03-03 09:32:12,ITT,43.23,100,K,@
2014-03-03 09:32:12,ITT,43.24,100,P,Q
2014-03-03 09:32:12,ITT,43.24,100,P,F
2014-03-03 09:32:12,ITT,43.24,1,T,F I
2014-03-03 09:32:12,ITT,43.23,11,B,I
2014-03-03 09:32:12,ITT,43.26,50,T,F I
2014-03-03 09:32:12,ITT,43.26,1,T,F I
2014-03-03 09:32:12,ITT,43.26,49,T,F I
2014-03-03 09:32:12,ITT,43.26,3,P,F I
2014-03-03 09:32:12,ITT,43.28,50,K,F I
2014-03-03 09:32:12,ITT,43.25,23,T,F I
2014-03-03 09:32:12,ITT,43.27,1,J,I
2014-03-03 09:32:12,ITT,43.27,5,B,I
2014-03-03 09:32:12,ITT,43.26,1,B,I
2014-03-03 09:32:12,ITT,43.28,3,B,I
2014-03-03 09:32:12,ITT,43.27,97,B,I
2014-03-03 09:32:12,ITT,43.28,3,Y,I
2014-03-03 09:32:13,ITT,43.25,53,K,F I
2014-03-03 09:32:14,ITT,43.23,100,Z,@
2014-03-03 09:32:14,ITT,43.23,100,N,@
2014-03-03 09:32:14,ITT,43.2,5,N,I
2014-03-03 09:32:14,ITT,43.2,50,K,F I
2014-03-03 09:32:16,ITT,43.19,100,B,F
2014-03-03 09:32:16,ITT,43.181000000000004,100,D,@
2014-03-03 09:32:16,ITT,43.18,100,D,@
2014-03-03 09:32:17,ITT,43.2,100,K,F
2014-03-03 09:32:17,ITT,43.2,13,K,F I
2014-03-03 09:32:17,ITT,43.2,87,K,F I
2014-03-03 09:32:17,ITT,43.18,197,D,@
2014-03-03 09:32:18,ITT,43.19,100,D,F
2014-03-03 09:32:18,ITT,43.19,100,D,F
2014-03-03 09:32:38,ITT,43.22,100,B,F
2014-03-03 09:32:38,ITT,43.21,13,P,F I
2014-03-03 09:32:38,ITT,43.21,100,Y,F
2014-03-03 09:32:38,ITT,43.23,100,P,@
2014-03-03 09:32:46,ITT,43.21,13,N,I
2014-03-03 09:32:46,ITT,43.21,100,K,@
2014-03-03 09:32:46,ITT,43.21,100,K,@
2014-03-03 09:32:58,ITT,43.21,1,K,F I
2014-03-03 09:33:07,ITT,43.14,272,D,@
2014-03-03 09:33:08,ITT,43.1301,500,D,@
2014-03-03 09:33:11,ITT,43.13,100,N,F
2014-03-03 09:33:13,ITT,43.0701,140,D,@
2014-03-03 09:33:19,ITT,43.1,186,Z,@
2014-03-03 09:33:19,ITT,43.1,100,Z,F
2014-03-03 09:33:19,ITT,43.1,14,Z,F I
2014-03-03 09:33:19,ITT,43.09,100,N,F
2014-03-03 09:33:19,ITT,43.11,100,D,@
2014-03-03 09:33:19,ITT,43.11,100,T,@
2014-03-03 09:33:23,ITT,43.0501,100,D,@
2014-03-03 09:33:23,ITT,43.05,100,D,F
2014-03-03 09:33:25,ITT,43.044,100,D,@
2014-03-03 09:33:31,ITT,43.08,39,T,F I
2014-03-03 09:33:31,ITT,43.08,61,T,I
2014-03-03 09:33:31,ITT,43.08,75,Z,F I
2014-03-03 09:33:31,ITT,43.09,39,T,I
2014-03-03 09:33:31,ITT,43.08,25,Z,I
2014-03-03 09:33:31,ITT,43.09,50,Z,I
2014-03-03 09:33:34,ITT,43.09,25,Z,I
2014-03-03 09:33:34,ITT,43.12,25,N,I
2014-03-03 09:33:34,ITT,43.12,75,N,I
2014-03-03 09:33:34,ITT,43.13,75,K,F I
2014-03-03 09:33:34,ITT,43.14,50,P,F I
2014-03-03 09:33:35,ITT,43.13,25,K,I
2014-03-03 09:33:35,ITT,43.111999999999995,100,D,F
2014-03-03 09:33:56,ITT,43.16,100,D,@
2014-03-03 09:33:57,ITT,43.19,100,B,@
2014-03-03 09:33:57,ITT,43.19,50,J,I
2014-03-03 09:33:57,ITT,43.2,100,D,@
2014-03-03 09:33:58,ITT,43.2,100,K,@
