Local time,Ask,Bid,AskVolume,BidVolume
12.04.2018 09:30:00.508 GMT-0400,173.41299999999998,173.39700000000002,100,100
12.04.2018 09:30:00.787 GMT-0400,173.393,173.30700000000002,200,100
12.04.2018 09:30:01.122 GMT-0400,173.412,173.34799999999998,120,9
12.04.2018 09:30:01.241 GMT-0400,173.403,173.30700000000002,100,100
12.04.2018 09:30:01.573 GMT-0400,173.423,173.395,62,260
12.04.2018 09:30:02.594 GMT-0400,173.41,173.368,62,7
12.04.2018 09:30:04.375 GMT-0400,173.483,173.387,120,7499.9998
12.04.2018 09:30:04.794 GMT-0400,173.483,173.39700000000002,120,520
12.04.2018 09:30:05.891 GMT-0400,173.40200000000002,173.34799999999998,120,640
12.04.2018 09:30:06.195 GMT-0400,173.373,173.308,62,190
12.04.2018 09:30:07.024 GMT-0400,173.373,173.30700000000002,62,190
12.04.2018 09:30:07.395 GMT-0400,173.483,173.388,120,7499.9998
12.04.2018 09:30:11.624 GMT-0400,173.483,173.447,100,7499.9998
12.04.2018 09:30:11.772 GMT-0400,173.482,173.398,100,75
12.04.2018 09:30:12.399 GMT-0400,173.483,173.39700000000002,120,75
12.04.2018 09:30:12.593 GMT-0400,173.482,173.408,120,75
12.04.2018 09:30:13.030 GMT-0400,173.482,173.437,120,7499.9998
12.04.2018 09:30:13.797 GMT-0400,173.482,173.408,120,300
12.04.2018 09:30:14.118 GMT-0400,173.49200000000002,173.438,100,7
12.04.2018 09:30:14.219 GMT-0400,173.533,173.437,62,7499.9998
12.04.2018 09:30:14.269 GMT-0400,173.483,173.407,62,82
12.04.2018 09:30:14.687 GMT-0400,173.483,173.438,62,160
12.04.2018 09:30:14.738 GMT-0400,173.483,173.408,62,110
12.04.2018 09:30:15.241 GMT-0400,173.483,173.407,62,300
12.04.2018 09:30:15.292 GMT-0400,173.493,173.407,100,300
12.04.2018 09:30:15.589 GMT-0400,173.47299999999998,173.407,110,220
12.04.2018 09:30:16.300 GMT-0400,173.463,173.39700000000002,62,150
12.04.2018 09:30:16.351 GMT-0400,173.453,173.381,120,7499.9998
12.04.2018 09:30:16.402 GMT-0400,173.43200000000002,173.381,100,7499.9998
12.04.2018 09:30:16.492 GMT-0400,173.453,173.39700000000002,7,82
12.04.2018 09:30:16.543 GMT-0400,173.519,173.467,62,75
12.04.2018 09:30:16.593 GMT-0400,173.573,173.51700000000002,62,7
